"LevenbergMarquardtOptimizer","1806","1805",
"LevenbergMarquardtOptimizer","1808","1807",
"LevenbergMarquardtOptimizer","1954","1953",
"CMAESOptimizer","174","6",
"CMAESOptimizer","180","12",
"OpenMapRealVector","73","44",
"OpenMapRealVector","74","45",
"OpenMapRealVector","75","46",
"OpenMapRealVector","76","47",
"Complex","14","19",
"Complex","4","13",
"Complex","15","18",
"Complex","9","8",
"BOBYQAOptimizer","1857","8",
"BOBYQAOptimizer","1859","10",
"BOBYQAOptimizer","1870","21",
"SimplexTableau","76","78",
"SummaryStatistics","138","140",
"SummaryStatistics","139","141",
"SummaryStatistics","140","142",
"Complex","1","2",
"BrentOptimizer","2","235",
"BrentOptimizer","4","237",
"BrentOptimizer","5","238",
"BrentOptimizer","6","239",
"BrentOptimizer","8","241",
"BrentOptimizer","241","388",
"BrentOptimizer","20","253",
"BrentOptimizer","21","254",
"BrentOptimizer","24","257",
"BrentOptimizer","25","258",
"BrentOptimizer","118","351",
"BrentOptimizer","119","352",
"BrentOptimizer","136","369",
"BrentOptimizer","139","372",
"EmbeddedRungeKuttaIntegrator","531","523",
"RungeKuttaIntegrator","331","337",
"SimplexTableau","23","32",
"SimplexTableau","27","36",
"MathUtils","6","5",
"MathUtils","7","6",
"MathUtils","24","18",
