"LevenbergMarquardtOptimizer","1806","1805","math006"
"LevenbergMarquardtOptimizer","1808","1807","math006"
"LevenbergMarquardtOptimizer","1954","1953","math006"
"CMAESOptimizer","174","6","math018"
"CMAESOptimizer","180","12","math018"
"OpenMapRealVector","73","44","math029"
"OpenMapRealVector","74","45","math029"
"OpenMapRealVector","75","46","math029"
"OpenMapRealVector","76","47","math029"
"Complex","14","19","math037"
"Complex","4","13","math037"
"Complex","15","18","math037"
"Complex","9","8","math037"
"BOBYQAOptimizer","1857","8","math038"
"BOBYQAOptimizer","1859","10","math038"
"BOBYQAOptimizer","1870","21","math038"
"SimplexTableau","76","78","math042"
"SummaryStatistics","138","140","math043"
"SummaryStatistics","139","141","math043"
"SummaryStatistics","140","142","math043"
"Complex","1","2","math046"
"BrentOptimizer","2","235","math066"
"BrentOptimizer","4","237","math066"
"BrentOptimizer","5","238","math066"
"BrentOptimizer","6","239","math066"
"BrentOptimizer","8","241","math066"
"BrentOptimizer","241","388","math066"
"BrentOptimizer","20","253","math066"
"BrentOptimizer","21","254","math066"
"BrentOptimizer","24","257","math066"
"BrentOptimizer","25","258","math066"
"BrentOptimizer","118","351","math066"
"BrentOptimizer","119","352","math066"
"BrentOptimizer","136","369","math066"
"BrentOptimizer","139","372","math066"
"EmbeddedRungeKuttaIntegrator","531","523","math071"
"RungeKuttaIntegrator","331","337","math071"
"SimplexTableau","23","32","math083"
"SimplexTableau","27","36","math083"
"MathUtils","6","5","math092"
"MathUtils","7","6","math092"
"MathUtils","24","18","math092"
